data,municipio,casos_novos,obitos_novos,vacinados_novos,casos_acumulados,obitos_acumulados,vacinados_acumulados
2024-08-01,Aracaju,7,1,0,7,1,8907
2024-08-02,Aracaju,7,0,0,14,1,8907
2024-08-03,Aracaju,8,1,6,22,2,8913
2024-08-04,Aracaju,8,0,4,30,2,8917
2024-08-05,Aracaju,10,1,1,40,3,8918
2024-08-06,Aracaju,13,1,6,53,4,8924
2024-08-07,Aracaju,1,0,2,54,4,8926
2024-08-08,Aracaju,6,0,5,60,4,8931
2024-08-09,Aracaju,6,0,8,66,4,8939
2024-08-10,Aracaju,7,0,2,73,4,8941
2024-08-11,Aracaju,6,0,5,79,4,8946
2024-08-12,Aracaju,6,0,7,85,4,8953
2024-08-13,Aracaju,15,0,3,100,4,8956
2024-08-14,Aracaju,0,1,6,100,5,8962
2024-08-15,Aracaju,17,1,8,117,6,8970
2024-08-16,Aracaju,5,1,3,122,7,8973
2024-08-17,Aracaju,15,1,7,137,8,8980
2024-08-18,Aracaju,7,1,6,144,9,8986
2024-08-19,Aracaju,4,0,7,148,9,8993
2024-08-20,Aracaju,17,0,1,165,9,8994
2024-08-21,Aracaju,9,1,8,174,10,9002
2024-08-22,Aracaju,7,1,0,181,11,9002
2024-08-23,Aracaju,6,1,6,187,12,9008
2024-08-24,Aracaju,9,0,5,196,12,9013
2024-08-25,Aracaju,3,0,4,199,12,9017
2024-08-26,Aracaju,15,2,5,214,14,9022
2024-08-27,Aracaju,10,0,2,224,14,9024
2024-08-28,Aracaju,1,1,1,225,15,9025
2024-08-29,Aracaju,14,0,6,239,15,9031
2024-08-30,Aracaju,7,1,3,246,16,9034
2024-08-31,Aracaju,8,0,6,254,16,9040
2024-09-01,Aracaju,11,0,4,265,16,9044
2024-09-02,Aracaju,5,1,4,270,17,9048
2024-09-03,Aracaju,8,0,8,278,17,9056
2024-09-04,Aracaju,15,0,1,293,17,9057
2024-09-05,Aracaju,8,0,4,301,17,9061
2024-09-06,Aracaju,9,1,10,310,18,9071
2024-09-07,Aracaju,15,1,17,325,19,9088
2024-09-08,Aracaju,16,1,12,341,20,9100
2024-09-09,Aracaju,19,1,0,360,21,9100
2024-09-10,Aracaju,11,1,4,371,22,9104
2024-09-11,Aracaju,10,0,9,381,22,9113
2024-09-12,Aracaju,10,0,0,391,22,9113
2024-09-13,Aracaju,16,1,4,407,23,9117
2024-09-14,Aracaju,8,1,0,415,24,9117
2024-09-15,Aracaju,6,1,1,421,25,9118
2024-09-16,Aracaju,15,0,8,436,25,9126
2024-09-17,Aracaju,7,1,0,443,26,9126
2024-09-18,Aracaju,17,0,0,460,26,9126
2024-09-19,Aracaju,15,1,2,475,27,9128
2024-09-20,Aracaju,9,0,1,484,27,9129
2024-09-21,Aracaju,5,0,8,489,27,9137
2024-09-22,Aracaju,11,1,7,500,28,9144
2024-09-23,Aracaju,9,1,6,509,29,9150
2024-09-24,Aracaju,13,0,4,522,29,9154
2024-09-25,Aracaju,16,0,3,538,29,9157
2024-09-26,Aracaju,18,1,0,556,30,9157
2024-09-27,Aracaju,4,0,0,560,30,9157
2024-09-28,Aracaju,8,2,9,568,32,9166
2024-09-29,Aracaju,9,1,7,577,33,9173
2024-09-30,Aracaju,7,0,4,584,33,9177
2024-10-01,Aracaju,13,1,6,597,34,9183
2024-10-02,Aracaju,16,0,5,613,34,9188
2024-10-03,Aracaju,7,0,2,620,34,9190
2024-10-04,Aracaju,9,1,5,629,35,9195
2024-10-05,Aracaju,12,2,0,641,37,9195
2024-10-06,Aracaju,18,1,7,659,38,9202
2024-10-07,Aracaju,5,1,2,664,39,9204
2024-10-08,Aracaju,4,1,6,668,40,9210
2024-10-09,Aracaju,4,0,8,672,40,9218
2024-10-10,Aracaju,0,0,7,672,40,9225
2024-10-11,Aracaju,7,0,2,679,40,9227
2024-10-12,Aracaju,5,0,12,684,40,9239
2024-10-13,Aracaju,0,1,5,684,41,9244
2024-10-14,Aracaju,10,1,4,694,42,9248
2024-10-15,Aracaju,3,0,6,697,42,9254
2024-10-16,Aracaju,9,1,5,706,43,9259
2024-10-17,Aracaju,19,0,0,725,43,9259
2024-10-18,Aracaju,15,1,4,740,44,9263
2024-10-19,Aracaju,5,0,6,745,44,9269
2024-10-20,Aracaju,5,0,4,750,44,9273
2024-10-21,Aracaju,1,1,1,751,45,9274
2024-10-22,Aracaju,16,1,3,767,46,9277
2024-10-23,Aracaju,7,0,10,774,46,9287
2024-10-24,Aracaju,15,1,4,789,47,9291
2024-10-25,Aracaju,15,1,5,804,48,9296
2024-10-26,Aracaju,8,1,10,812,49,9306
2024-10-27,Aracaju,2,1,0,814,50,9306
2024-10-28,Aracaju,12,1,7,826,51,9313
2024-10-29,Aracaju,6,1,4,832,52,9317
2024-10-30,Aracaju,4,1,2,836,53,9319
2024-10-31,Aracaju,6,0,9,842,53,9328
2024-11-01,Aracaju,12,1,5,854,54,9333
2024-11-02,Aracaju,10,1,6,864,55,9339
2024-11-03,Aracaju,11,1,4,875,56,9343
2024-11-04,Aracaju,13,0,8,888,56,9351
2024-11-05,Aracaju,8,0,3,896,56,9354
2024-11-06,Aracaju,4,0,4,900,56,9358
2024-11-07,Aracaju,13,0,2,913,56,9360
2024-11-08,Aracaju,13,1,6,926,57,9366
2024-11-09,Aracaju,15,1,6,941,58,9372
2024-11-10,Aracaju,7,0,4,948,58,9376
2024-11-11,Aracaju,14,1,13,962,59,9389
2024-11-12,Aracaju,10,1,8,972,60,9397
2024-11-13,Aracaju,10,0,2,982,60,9399
2024-11-14,Aracaju,15,1,5,997,61,9404
2024-11-15,Aracaju,13,1,6,1010,62,9410
2024-11-16,Aracaju,10,1,2,1020,63,9412
2024-11-17,Aracaju,11,1,2,1031,64,9414
2024-11-18,Aracaju,16,0,3,1047,64,9417
2024-11-19,Aracaju,18,0,6,1065,64,9423
2024-11-20,Aracaju,12,1,1,1077,65,9424
2024-11-21,Aracaju,3,0,3,1080,65,9427
2024-11-22,Aracaju,0,1,4,1080,66,9431
2024-11-23,Aracaju,6,0,4,1086,66,9435
2024-11-24,Aracaju,17,1,11,1103,67,9446
2024-11-25,Aracaju,4,1,3,1107,68,9449
2024-11-26,Aracaju,6,0,0,1113,68,9449
2024-11-27,Aracaju,8,1,3,1121,69,9452
2024-11-28,Aracaju,10,1,5,1131,70,9457
2024-11-29,Aracaju,8,1,0,1139,71,9457
2024-11-30,Aracaju,2,0,9,1141,71,9466
2024-12-01,Aracaju,13,1,9,1154,72,9475
2024-12-02,Aracaju,3,0,3,1157,72,9478
2024-12-03,Aracaju,11,1,2,1168,73,9480
2024-12-04,Aracaju,10,1,10,1178,74,9490
2024-12-05,Aracaju,2,1,6,1180,75,9496
2024-12-06,Aracaju,13,1,6,1193,76,9502
2024-12-07,Aracaju,1,0,6,1194,76,9508
2024-12-08,Aracaju,16,0,6,1210,76,9514
2024-12-09,Aracaju,5,1,4,1215,77,9518
2024-12-10,Aracaju,9,0,2,1224,77,9520
2024-12-11,Aracaju,6,0,6,1230,77,9526
2024-12-12,Aracaju,17,0,2,1247,77,9528
2024-12-13,Aracaju,14,1,3,1261,78,9531
2024-12-14,Aracaju,0,0,2,1261,78,9533
2024-12-15,Aracaju,7,1,1,1268,79,9534
2024-12-16,Aracaju,4,0,6,1272,79,9540
2024-12-17,Aracaju,7,1,3,1279,80,9543
2024-12-18,Aracaju,5,1,3,1284,81,9546
2024-12-19,Aracaju,11,1,3,1295,82,9549
2024-12-20,Aracaju,6,0,5,1301,82,9554
2024-12-21,Aracaju,12,0,5,1313,82,9559
2024-12-22,Aracaju,14,0,3,1327,82,9562
2024-12-23,Aracaju,13,0,2,1340,82,9564
2024-12-24,Aracaju,6,1,7,1346,83,9571
2024-12-25,Aracaju,13,0,4,1359,83,9575
2024-12-26,Aracaju,9,0,7,1368,83,9582
2024-12-27,Aracaju,9,0,3,1377,83,9585
2024-12-28,Aracaju,8,1,9,1385,84,9594
2024-12-29,Aracaju,8,0,9,1393,84,9603
2024-12-30,Aracaju,13,0,2,1406,84,9605
2024-12-31,Aracaju,2,1,1,1408,85,9606
2025-01-01,Aracaju,9,2,5,1417,87,9611
2025-01-02,Aracaju,11,0,5,1428,87,9616
2025-01-03,Aracaju,2,0,9,1430,87,9625
2025-01-04,Aracaju,13,0,7,1443,87,9632
2025-01-05,Aracaju,17,0,5,1460,87,9637
2025-01-06,Aracaju,17,1,8,1477,88,9645
2025-01-07,Aracaju,8,0,12,1485,88,9657
2025-01-08,Aracaju,15,1,4,1500,89,9661
2025-01-09,Aracaju,3,0,2,1503,89,9663
2025-01-10,Aracaju,22,0,5,1525,89,9668
2025-01-11,Aracaju,7,0,3,1532,89,9671
2025-01-12,Aracaju,8,1,6,1540,90,9677
2025-01-13,Aracaju,13,0,4,1553,90,9681
2025-01-14,Aracaju,0,1,7,1553,91,9688
2025-01-15,Aracaju,7,1,4,1560,92,9692
2025-01-16,Aracaju,4,0,7,1564,92,9699
2025-01-17,Aracaju,16,0,3,1580,92,9702
2025-01-18,Aracaju,5,0,4,1585,92,9706
2025-01-19,Aracaju,4,0,12,1589,92,9718
2025-01-20,Aracaju,12,1,3,1601,93,9721
2025-01-21,Aracaju,3,0,4,1604,93,9725
2025-01-22,Aracaju,14,0,0,1618,93,9725
2025-01-23,Aracaju,12,1,1,1630,94,9726
2025-01-24,Aracaju,5,0,6,1635,94,9732
2025-01-25,Aracaju,11,1,5,1646,95,9737
2025-01-26,Aracaju,0,0,7,1646,95,9744
2025-01-27,Aracaju,13,0,9,1659,95,9753
2025-01-28,Aracaju,14,0,1,1673,95,9754
2025-01-29,Aracaju,11,1,0,1684,96,9754
2025-01-30,Aracaju,19,1,9,1703,97,9763
2025-01-31,Aracaju,4,1,4,1707,98,9767
2025-02-01,Aracaju,11,0,6,1718,98,9773
2025-02-02,Aracaju,12,0,1,1730,98,9774
2025-02-03,Aracaju,15,0,5,1745,98,9779
2025-02-04,Aracaju,10,0,9,1755,98,9788
2025-02-05,Aracaju,5,1,5,1760,99,9793
2025-02-06,Aracaju,6,1,8,1766,100,9801
2025-02-07,Aracaju,9,1,6,1775,101,9807
2025-02-08,Aracaju,8,1,9,1783,102,9816
2025-02-09,Aracaju,15,0,7,1798,102,9823
2025-02-10,Aracaju,14,1,1,1812,103,9824
2025-02-11,Aracaju,10,1,0,1822,104,9824
2025-02-12,Aracaju,12,0,2,1834,104,9826
2025-02-13,Aracaju,7,1,4,1841,105,9830
2025-02-14,Aracaju,9,0,3,1850,105,9833
2025-02-15,Aracaju,17,0,5,1867,105,9838
2025-02-16,Aracaju,13,0,6,1880,105,9844
2025-02-17,Aracaju,14,1,9,1894,106,9853
2025-02-18,Aracaju,15,0,8,1909,106,9861
2025-02-19,Aracaju,14,1,8,1923,107,9869
2025-02-20,Aracaju,10,1,2,1933,108,9871
2025-02-21,Aracaju,4,0,8,1937,108,9879
2025-02-22,Aracaju,6,0,7,1943,108,9886
2025-02-23,Aracaju,9,0,4,1952,108,9890
2025-02-24,Aracaju,13,1,0,1965,109,9890
2025-02-25,Aracaju,13,0,10,1978,109,9900
2025-02-26,Aracaju,14,0,8,1992,109,9908
2025-02-27,Aracaju,11,0,7,2003,109,9915
2025-02-28,Aracaju,13,0,1,2016,109,9916
2025-03-01,Aracaju,12,1,2,2028,110,9918
2025-03-02,Aracaju,10,1,6,2038,111,9924
2025-03-03,Aracaju,5,1,5,2043,112,9929
2025-03-04,Aracaju,19,0,0,2062,112,9929
2025-03-05,Aracaju,6,0,4,2068,112,9933
2025-03-06,Aracaju,1,0,7,2069,112,9940
2025-03-07,Aracaju,2,1,4,2071,113,9944
2025-03-08,Aracaju,8,0,3,2079,113,9947
2025-03-09,Aracaju,13,0,8,2092,113,9955
2025-03-10,Aracaju,20,0,5,2112,113,9960
2025-03-11,Aracaju,7,0,4,2119,113,9964
2025-03-12,Aracaju,3,1,6,2122,114,9970
2025-03-13,Aracaju,9,1,6,2131,115,9976
2025-03-14,Aracaju,19,0,8,2150,115,9984
2025-03-15,Aracaju,5,0,9,2155,115,9993
2025-03-16,Aracaju,5,0,13,2160,115,10006
2025-03-17,Aracaju,7,0,7,2167,115,10013
2025-03-18,Aracaju,12,0,6,2179,115,10019
2025-03-19,Aracaju,2,1,4,2181,116,10023
2025-03-20,Aracaju,1,1,10,2182,117,10033
2025-03-21,Aracaju,15,1,2,2197,118,10035
2025-03-22,Aracaju,15,0,5,2212,118,10040
2025-03-23,Aracaju,9,1,1,2221,119,10041
2025-03-24,Aracaju,9,1,7,2230,120,10048
2025-03-25,Aracaju,12,1,3,2242,121,10051
2025-03-26,Aracaju,19,1,10,2261,122,10061
2025-03-27,Aracaju,11,1,4,2272,123,10065
2025-03-28,Aracaju,6,1,10,2278,124,10075
2025-03-29,Aracaju,6,2,6,2284,126,10081
2025-03-30,Aracaju,15,0,4,2299,126,10085
2025-03-31,Aracaju,12,0,3,2311,126,10088
2025-04-01,Aracaju,6,0,10,2317,126,10098
2025-04-02,Aracaju,12,1,0,2329,127,10098
2025-04-03,Aracaju,11,0,5,2340,127,10103
2025-04-04,Aracaju,12,1,4,2352,128,10107
2025-04-05,Aracaju,0,1,5,2352,129,10112
2025-04-06,Aracaju,13,0,2,2365,129,10114
2025-04-07,Aracaju,1,1,6,2366,130,10120
2025-04-08,Aracaju,5,1,4,2371,131,10124
2025-04-09,Aracaju,3,0,5,2374,131,10129
2025-04-10,Aracaju,20,1,10,2394,132,10139
2025-04-11,Aracaju,11,0,4,2405,132,10143
2025-04-12,Aracaju,10,1,6,2415,133,10149
2025-04-13,Aracaju,14,0,3,2429,133,10152
2025-04-14,Aracaju,13,0,9,2442,133,10161
2025-04-15,Aracaju,11,1,7,2453,134,10168
2025-04-16,Aracaju,6,0,1,2459,134,10169
2025-04-17,Aracaju,9,0,7,2468,134,10176
2025-04-18,Aracaju,7,1,5,2475,135,10181
2025-04-19,Aracaju,6,0,0,2481,135,10181
2025-04-20,Aracaju,11,0,6,2492,135,10187
2025-04-21,Aracaju,0,1,0,2492,136,10187
2025-04-22,Aracaju,7,1,9,2499,137,10196
2025-04-23,Aracaju,9,0,2,2508,137,10198
2025-04-24,Aracaju,20,0,6,2528,137,10204
2025-04-25,Aracaju,18,0,4,2546,137,10208
2025-04-26,Aracaju,11,2,5,2557,139,10213
2025-04-27,Aracaju,13,1,4,2570,140,10217
2025-04-28,Aracaju,16,1,1,2586,141,10218
2025-04-29,Aracaju,10,0,6,2596,141,10224
2025-04-30,Aracaju,7,0,4,2603,141,10228
2025-05-01,Aracaju,8,0,6,2611,141,10234
2025-05-02,Aracaju,5,0,7,2616,141,10241
2025-05-03,Aracaju,7,0,5,2623,141,10246
2025-05-04,Aracaju,0,0,8,2623,141,10254
2025-05-05,Aracaju,16,1,8,2639,142,10262
2025-05-06,Aracaju,9,1,12,2648,143,10274
2025-05-07,Aracaju,0,0,7,2648,143,10281
2025-05-08,Aracaju,9,1,4,2657,144,10285
2025-05-09,Aracaju,11,1,5,2668,145,10290
2025-05-10,Aracaju,9,0,7,2677,145,10297
2025-05-11,Aracaju,14,0,1,2691,145,10298
2025-05-12,Aracaju,6,0,0,2697,145,10298
2025-05-13,Aracaju,4,0,6,2701,145,10304
2025-05-14,Aracaju,12,0,6,2713,145,10310
2025-05-15,Aracaju,12,1,0,2725,146,10310
2025-05-16,Aracaju,16,1,3,2741,147,10313
2025-05-17,Aracaju,25,0,0,2766,147,10313
2025-05-18,Aracaju,7,1,9,2773,148,10322
2025-05-19,Aracaju,4,1,2,2777,149,10324
2025-05-20,Aracaju,7,0,7,2784,149,10331
2025-05-21,Aracaju,14,0,2,2798,149,10333
2025-05-22,Aracaju,23,1,5,2821,150,10338
2025-05-23,Aracaju,10,0,0,2831,150,10338
2025-05-24,Aracaju,9,0,4,2840,150,10342
2025-05-25,Aracaju,0,0,5,2840,150,10347
2025-05-26,Aracaju,1,0,7,2841,150,10354
2025-05-27,Aracaju,11,1,2,2852,151,10356
2025-05-28,Aracaju,5,0,4,2857,151,10360
2025-05-29,Aracaju,21,1,5,2878,152,10365
2025-05-30,Aracaju,3,1,6,2881,153,10371
2025-05-31,Aracaju,7,0,0,2888,153,10371
2025-06-01,Aracaju,15,0,8,2903,153,10379
2025-06-02,Aracaju,6,0,0,2909,153,10379
2025-06-03,Aracaju,7,0,3,2916,153,10382
2025-06-04,Aracaju,8,1,4,2924,154,10386
2025-06-05,Aracaju,20,0,6,2944,154,10392
2025-06-06,Aracaju,16,1,5,2960,155,10397
2025-06-07,Aracaju,19,1,2,2979,156,10399
2025-06-08,Aracaju,5,0,2,2984,156,10401
2025-06-09,Aracaju,0,1,3,2984,157,10404
2025-06-10,Aracaju,0,1,3,2984,158,10407
2025-06-11,Aracaju,19,1,0,3003,159,10407
2025-06-12,Aracaju,0,1,4,3003,160,10411
2025-06-13,Aracaju,16,0,6,3019,160,10417
2025-06-14,Aracaju,9,0,10,3028,160,10427
2025-06-15,Aracaju,2,0,5,3030,160,10432
2025-06-16,Aracaju,1,0,2,3031,160,10434
2025-06-17,Aracaju,3,0,0,3034,160,10434
2025-06-18,Aracaju,8,1,4,3042,161,10438
2025-06-19,Aracaju,19,0,5,3061,161,10443
2025-06-20,Aracaju,12,0,0,3073,161,10443
2025-06-21,Aracaju,17,0,3,3090,161,10446
2025-06-22,Aracaju,13,0,0,3103,161,10446
2025-06-23,Aracaju,5,1,5,3108,162,10451
2025-06-24,Aracaju,8,0,2,3116,162,10453
2025-06-25,Aracaju,7,1,4,3123,163,10457
2025-06-26,Aracaju,1,1,11,3124,164,10468
2025-06-27,Aracaju,12,1,0,3136,165,10468
2025-06-28,Aracaju,12,0,2,3148,165,10470
2025-06-29,Aracaju,0,0,4,3148,165,10474
2025-06-30,Aracaju,9,0,5,3157,165,10479
2025-07-01,Aracaju,3,1,5,3160,166,10484
2025-07-02,Aracaju,12,0,0,3172,166,10484
2025-07-03,Aracaju,11,0,6,3183,166,10490
2025-07-04,Aracaju,6,0,4,3189,166,10494
2025-07-05,Aracaju,6,1,0,3195,167,10494
2025-07-06,Aracaju,8,1,7,3203,168,10501
2025-07-07,Aracaju,7,1,8,3210,169,10509
2025-07-08,Aracaju,10,0,10,3220,169,10519
2025-07-09,Aracaju,7,0,4,3227,169,10523
2025-07-10,Aracaju,20,0,5,3247,169,10528
2025-07-11,Aracaju,11,0,5,3258,169,10533
2025-07-12,Aracaju,7,0,9,3265,169,10542
2025-07-13,Aracaju,12,1,7,3277,170,10549
2025-07-14,Aracaju,6,1,1,3283,171,10550
2025-07-15,Aracaju,12,0,8,3295,171,10558
2025-07-16,Aracaju,8,0,3,3303,171,10561
2025-07-17,Aracaju,12,1,5,3315,172,10566
2025-07-18,Aracaju,8,0,2,3323,172,10568
2025-07-19,Aracaju,17,1,4,3340,173,10572
2025-07-20,Aracaju,19,0,6,3359,173,10578
2025-07-21,Aracaju,7,1,3,3366,174,10581
2025-07-22,Aracaju,5,0,2,3371,174,10583
2025-07-23,Aracaju,9,0,5,3380,174,10588
2025-07-24,Aracaju,17,0,3,3397,174,10591
2025-07-25,Aracaju,8,0,2,3405,174,10593
2025-07-26,Aracaju,12,1,6,3417,175,10599
2025-07-27,Aracaju,12,0,3,3429,175,10602
2025-07-28,Aracaju,21,1,0,3450,176,10602
2025-07-29,Aracaju,7,1,0,3457,177,10602
2025-07-30,Aracaju,10,0,3,3467,177,10605
2025-07-31,Aracaju,13,1,6,3480,178,10611
2024-08-01,Nossa Senhora do Socorro,12,1,3,12,1,13647
2024-08-02,Nossa Senhora do Socorro,9,0,0,21,1,13647
2024-08-03,Nossa Senhora do Socorro,14,1,10,35,2,13657
2024-08-04,Nossa Senhora do Socorro,6,0,4,41,2,13661
2024-08-05,Nossa Senhora do Socorro,6,1,7,47,3,13668
2024-08-06,Nossa Senhora do Socorro,3,1,6,50,4,13674
2024-08-07,Nossa Senhora do Socorro,2,1,3,52,5,13677
2024-08-08,Nossa Senhora do Socorro,10,0,5,62,5,13682
2024-08-09,Nossa Senhora do Socorro,9,1,1,71,6,13683
2024-08-10,Nossa Senhora do Socorro,16,0,4,87,6,13687
2024-08-11,Nossa Senhora do Socorro,9,0,10,96,6,13697
2024-08-12,Nossa Senhora do Socorro,9,0,0,105,6,13697
2024-08-13,Nossa Senhora do Socorro,15,1,7,120,7,13704
2024-08-14,Nossa Senhora do Socorro,15,0,0,135,7,13704
2024-08-15,Nossa Senhora do Socorro,13,0,3,148,7,13707
2024-08-16,Nossa Senhora do Socorro,11,1,3,159,8,13710
2024-08-17,Nossa Senhora do Socorro,4,0,3,163,8,13713
2024-08-18,Nossa Senhora do Socorro,5,1,4,168,9,13717
2024-08-19,Nossa Senhora do Socorro,11,0,6,179,9,13723
2024-08-20,Nossa Senhora do Socorro,14,1,6,193,10,13729
2024-08-21,Nossa Senhora do Socorro,3,1,8,196,11,13737
2024-08-22,Nossa Senhora do Socorro,16,0,5,212,11,13742
2024-08-23,Nossa Senhora do Socorro,7,0,6,219,11,13748
2024-08-24,Nossa Senhora do Socorro,8,0,8,227,11,13756
2024-08-25,Nossa Senhora do Socorro,13,2,6,240,13,13762
2024-08-26,Nossa Senhora do Socorro,15,2,6,255,15,13768
2024-08-27,Nossa Senhora do Socorro,6,2,0,261,17,13768
2024-08-28,Nossa Senhora do Socorro,3,0,6,264,17,13774
2024-08-29,Nossa Senhora do Socorro,12,1,5,276,18,13779
2024-08-30,Nossa Senhora do Socorro,5,1,6,281,19,13785
2024-08-31,Nossa Senhora do Socorro,0,0,4,281,19,13789
2024-09-01,Nossa Senhora do Socorro,7,1,7,288,20,13796
2024-09-02,Nossa Senhora do Socorro,0,1,2,288,21,13798
2024-09-03,Nossa Senhora do Socorro,3,0,1,291,21,13799
2024-09-04,Nossa Senhora do Socorro,13,0,4,304,21,13803
2024-09-05,Nossa Senhora do Socorro,11,1,0,315,22,13803
2024-09-06,Nossa Senhora do Socorro,7,0,2,322,22,13805
2024-09-07,Nossa Senhora do Socorro,7,0,2,329,22,13807
2024-09-08,Nossa Senhora do Socorro,12,1,8,341,23,13815
2024-09-09,Nossa Senhora do Socorro,12,0,3,353,23,13818
2024-09-10,Nossa Senhora do Socorro,9,0,0,362,23,13818
2024-09-11,Nossa Senhora do Socorro,11,1,6,373,24,13824
2024-09-12,Nossa Senhora do Socorro,11,0,2,384,24,13826
2024-09-13,Nossa Senhora do Socorro,12,1,8,396,25,13834
2024-09-14,Nossa Senhora do Socorro,10,1,5,406,26,13839
2024-09-15,Nossa Senhora do Socorro,11,1,4,417,27,13843
2024-09-16,Nossa Senhora do Socorro,11,0,7,428,27,13850
2024-09-17,Nossa Senhora do Socorro,0,0,5,428,27,13855
2024-09-18,Nossa Senhora do Socorro,15,0,3,443,27,13858
2024-09-19,Nossa Senhora do Socorro,6,0,2,449,27,13860
2024-09-20,Nossa Senhora do Socorro,4,1,9,453,28,13869
2024-09-21,Nossa Senhora do Socorro,11,1,4,464,29,13873
2024-09-22,Nossa Senhora do Socorro,14,1,7,478,30,13880
2024-09-23,Nossa Senhora do Socorro,10,0,4,488,30,13884
2024-09-24,Nossa Senhora do Socorro,8,1,1,496,31,13885
2024-09-25,Nossa Senhora do Socorro,11,0,6,507,31,13891
2024-09-26,Nossa Senhora do Socorro,5,1,7,512,32,13898
2024-09-27,Nossa Senhora do Socorro,13,1,0,525,33,13898
2024-09-28,Nossa Senhora do Socorro,17,0,3,542,33,13901
2024-09-29,Nossa Senhora do Socorro,9,0,5,551,33,13906
2024-09-30,Nossa Senhora do Socorro,14,0,1,565,33,13907
2024-10-01,Nossa Senhora do Socorro,18,0,7,583,33,13914
2024-10-02,Nossa Senhora do Socorro,5,0,2,588,33,13916
2024-10-03,Nossa Senhora do Socorro,8,0,5,596,33,13921
2024-10-04,Nossa Senhora do Socorro,4,1,1,600,34,13922
2024-10-05,Nossa Senhora do Socorro,3,1,4,603,35,13926
2024-10-06,Nossa Senhora do Socorro,5,1,2,608,36,13928
2024-10-07,Nossa Senhora do Socorro,18,0,3,626,36,13931
2024-10-08,Nossa Senhora do Socorro,16,0,1,642,36,13932
2024-10-09,Nossa Senhora do Socorro,3,1,2,645,37,13934
2024-10-10,Nossa Senhora do Socorro,10,0,3,655,37,13937
2024-10-11,Nossa Senhora do Socorro,10,1,2,665,38,13939
2024-10-12,Nossa Senhora do Socorro,12,0,11,677,38,13950
2024-10-13,Nossa Senhora do Socorro,10,1,7,687,39,13957
2024-10-14,Nossa Senhora do Socorro,4,0,4,691,39,13961
2024-10-15,Nossa Senhora do Socorro,7,1,3,698,40,13964
2024-10-16,Nossa Senhora do Socorro,9,0,8,707,40,13972
2024-10-17,Nossa Senhora do Socorro,3,0,11,710,40,13983
2024-10-18,Nossa Senhora do Socorro,13,1,0,723,41,13983
2024-10-19,Nossa Senhora do Socorro,14,1,0,737,42,13983
2024-10-20,Nossa Senhora do Socorro,7,1,12,744,43,13995
2024-10-21,Nossa Senhora do Socorro,7,0,1,751,43,13996
2024-10-22,Nossa Senhora do Socorro,0,0,9,751,43,14005
2024-10-23,Nossa Senhora do Socorro,7,1,3,758,44,14008
2024-10-24,Nossa Senhora do Socorro,11,0,5,769,44,14013
2024-10-25,Nossa Senhora do Socorro,10,1,9,779,45,14022
2024-10-26,Nossa Senhora do Socorro,0,1,5,779,46,14027
2024-10-27,Nossa Senhora do Socorro,15,0,0,794,46,14027
2024-10-28,Nossa Senhora do Socorro,9,2,0,803,48,14027
2024-10-29,Nossa Senhora do Socorro,13,0,6,816,48,14033
2024-10-30,Nossa Senhora do Socorro,7,0,4,823,48,14037
2024-10-31,Nossa Senhora do Socorro,1,1,4,824,49,14041
2024-11-01,Nossa Senhora do Socorro,7,0,2,831,49,14043
2024-11-02,Nossa Senhora do Socorro,11,0,5,842,49,14048
2024-11-03,Nossa Senhora do Socorro,15,0,4,857,49,14052
2024-11-04,Nossa Senhora do Socorro,4,1,1,861,50,14053
2024-11-05,Nossa Senhora do Socorro,14,0,9,875,50,14062
2024-11-06,Nossa Senhora do Socorro,8,1,4,883,51,14066
2024-11-07,Nossa Senhora do Socorro,1,1,0,884,52,14066
